investor_type,green_focus,confidence_type,confidence_green,reasoning,investor_id,investor_name
OTHER,GREEN_VC,medium,high,"TUM Venture Labs is a network of incubators focused on nurturing innovation in emerging domains, which suggests it may be an independent entity (IVC). However, its focus on deep tech and life science indicates a potential green or ESG alignment. Since it's not explicitly tied to a government body, c",2909,TUM Venture Labs
OTHER,GREEN_VC,medium,high,"The name 'SDG Venture Scaler' suggests a focus on sustainable development goals (SDGs), which aligns with green ventures. However, without further information about its ownership or affiliation, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, or University_V",2930,SDG Venture Scaler
OTHER,TRADITIONAL,high,medium,"SideCar Angels is an angel syndicate/group of individual investors, making it an Angel_Network. While they might invest in green or climate-related projects, no specific green focus was mentioned in the description, so the confidence in their green focus is medium.",2935,SideCar Angels
OTHER,TRADITIONAL,medium,medium,"The investor's name does not clearly indicate a specific type (GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER). However, it is a capital firm focused on early-stage opportunities in technology and innovation, which could suggest an independent private firm (IVC) or a missi",2983,Xiang He Capital
CVC,TRADITIONAL,high,low,"Comcast Ventures is the venture arm of a private corporation (Comcast), therefore it falls under CVC category. However, there's no clear indication that Comcast Ventures focuses on green or ESG-aligned investments, hence the low confidence in the 'green_focus' classification.",2987,Comcast Ventures
GVC,GREEN_VC,high,high,"EDP Starter is a venture capital investor associated with EDP, a Portuguese multinational electric utility company. As it's a part of a non-government corporation, it falls under the CVC category. However, considering that EDP is a major player in the energy sector and EDP Starter focuses on startup",2990,EDP Starter
OTHER,GREEN_VC,medium,high,"The investor 'Backstage Capital' is not explicitly classified as a government, corporation, university, bank, or angel network. However, their focus on supporting underrepresented founders suggests a mission-driven approach, making them more likely to be an Impact_VC. Since they do not fit the exact",3020,Backstage Capital
OTHER,TRADITIONAL,low,low,"No description provided, so the investor type cannot be definitively determined. It's possible that TAcc+ could be a government venture capital (GVC), independent venture capital (IVC), or other type of investor. The green focus is also unknown without additional information.",3081,TAcc+
IVC,TRADITIONAL,medium,medium,"We are a venture capital firm that helps founders, but there's no clear indication it is government-funded (GVC), a corporation's venture arm (CVC), university-affiliated (University_VC), or an impact fund (Impact_VC). Therefore, it is classified as IVC.",3091,HCVC
OTHER,GREEN_VC,low,high,"The name 'H2 Refuel Accelerator' does not clearly indicate a specific type of investor. However, given its focus on green energy (hydrogen), it is classified as a Green Venture Capitalist (GVC) with a high confidence in the green focus.",3104,H2 Refuel Accelerator
OTHER,TRADITIONAL,low,low,"The name and description do not provide clear indications of the investor type or green focus. It's a private venture firm, but without further context, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER.",3114,Spacecadet Ventures
GVC,GREEN_VC,high,high,"Innovations- & Gründungszentrum Technologische Universität Darmstadt is a venture center associated with a specific university, making it a University_VC. However, since it's part of the Technical University of Darmstadt, it falls under the category of GVC as it is publicly funded by a government bo",3119,HIGHEST
OTHER,TRADITIONAL,low,low,"The provided data does not include a description of the investor, making it difficult to classify. Without further information, it cannot be definitively determined if Southern Angel Investors Club is a government-funded venture capitalist (GVC), corporate venture capitalist (CVC), independent ventu",3121,Southern Angel Investors Club
GVC,TRADITIONAL,medium,medium,"CJ CheilJedang is a South Korean food and biotechnology company, but the lack of specific information about its venture capital activities makes it difficult to definitively classify as CVC or IVC. However, since it's not a government body, GVC is less likely. Therefore, it's classified as GVC with ",3132,CJ CheilJedang
OTHER,GREEN_VC,medium,high,"The investor's name does not match any specific type in the provided rules. However, given its focus on supporting companies from startup to maturity and the fact that it mentions financial services, it might be an independent venture capital firm (IVC). The green focus is high due to the mention of",3137,Hiroshima Venture Capital
OTHER,TRADITIONAL,low,low,"Temerity Capital Partners is not a government agency, corporation, university, bank, or angel network, so it doesn't fit any of the defined categories exactly. However, without more specific information about their focus and investments, it cannot be definitively classified as GVC, CVC, IVC, Impact_",3139,Temerity Capital Partners
GVC,TRADITIONAL,medium,medium,"The name Hitejinro does not provide clear indications of being a government, corporation, university, bank, angel network, or other type of investor. However, given that it is a Korean conglomerate, there's a possibility it could be a CVC, but without more specific information about its nature and a",3142,Hitejinro
GVC,GREEN_VC,high,high,"Helvetia Venture Fund is a venture fund, and as it's associated with Helvetia, a Swiss insurance company, it falls under the category of CVC. However, since Helvetia is a private corporation, not a government body, it's classified as a CVC rather than GVC. But given that the fund is likely to be foc",3173,Helvetia Venture Fund
GVC,GREEN_VC,high,high,"The California Institute of Technology Endowment is affiliated with a specific university, making it a University_VC. However, since it's part of a public institution (California Institute of Technology), it falls under the category of GVC.",3203,California Institute of Technology Endowment
GVC,TRADITIONAL,medium,medium,"Delek US Holdings is not a government ministry, department, agency, council, commission, public bank, state/national fund, or publicly-funded program. However, it could potentially be a subsidiary of a foreign company, in which case it might fall under CVC if the parent organization is private. But ",3209,Delek US Holdings
OTHER,GREEN_VC,low,high,"The name Sofokus Ventures does not indicate any specific affiliation with a government, corporation, university, bank, or angel network. However, given the focus on venture capital and the lack of information suggesting a traditional investment focus, it is classified as OTHER. The green focus is in",3268,Sofokus Ventures
OTHER,TRADITIONAL,low,low,"Chipotle Mexican Grill is a private company, not a government body or a venture arm of another company, university, bank, or angel network. However, without specific information about its investment focus, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, or U",3280,Chipotle Mexican Grill
OTHER,TRADITIONAL,low,low,"The investor's name and description do not provide sufficient information to definitively classify it as a specific type of venture capital investor. It is neither explicitly stated as a government entity (GVC), corporation-affiliated (CVC), university-affiliated (University_VC), independent private",3284,SLB Ventures
OTHER,TRADITIONAL,low,low,"The name 'FIED Incubator' does not provide enough information to definitively classify it as a specific type of investor. Without further context or description, it cannot be categorized as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER.",3302,FIED Incubator
GVC,GREEN_VC,high,high,"The investor, SLU Holding, is affiliated with a specific university (SLU) and is mentioned in relation to projects addressing significant societal challenges. This aligns with the definition of University_VC, but given it's also associated with solving important societal issues, it falls under GVC c",3310,SLU Holding
OTHER,TRADITIONAL,low,low,"The name 'Golden Angels Investors' does not provide enough information to definitively classify it as a specific type of investor. It could be an angel network, IVC, or other type of venture capital firm.",3319,Golden Angels Investors
OTHER,TRADITIONAL,medium,medium,"The name and description do not provide clear indications of the investor type or green focus. It could be an independent venture capital firm (IVC) with a focus on tech-affine startups, but without further context it's hard to classify definitively.",3341,EnjoyVenture
GVC,GREEN_VC,high,high,"Stellantis Ventures is a venture capital arm of Stellantis, a multinational automobile manufacturing corporation. As it's a subsidiary of a private company, it falls under the CVC category. However, given that Stellantis has recently announced its commitment to become carbon neutral by 2040 and inve",3362,Stellantis Ventures
OTHER,TRADITIONAL,medium,medium,"Innoport does not fit the criteria for any specific investor type as per the rules provided. They invest in startups across the maritime and logistics sectors, but there is no clear indication that they are a government venture capital (GVC), corporate venture capital (CVC), independent venture capi",3363,Innoport
OTHER,TRADITIONAL,low,low,"The name Incubate Fund Asia does not provide clear indications of its ownership type. It could be an independent venture capital fund (IVC), a university-affiliated venture capital fund (University_VC), or an angel network (Angel_Network). Without more information, it's difficult to classify with hi",3411,Incubate Fund Asia
GVC,GREEN_VC,high,high,"SEED Innovations is not affiliated with a specific university, corporation, bank or angel network. It also doesn't seem to be a government program focused on climate-related projects only (GVC takes priority over Impact_VC). Therefore, it can be classified as a Government Venture Capital (GVC) due t",3423,SEED Innovations
GVC,TRADITIONAL,medium,medium,"The investor is a company, but it's not clear if it's a government-owned venture capital firm. However, given that it's a subsidiary of Japan Airlines, there's a possibility it might be a CVC. But without more specific information, the classification is uncertain.",3468,Japan Airlines Company
GVC,GREEN_VC,high,high,"Suzano Ventures is a venture arm of Suzano Papel e Celulose, which is a Brazilian pulp and paper company. As it's affiliated with a private corporation, it falls under the CVC category. However, since Suzano is a Brazilian company, it's likely that Suzano Ventures is focused on green initiatives due",3480,Suzano Ventures
GVC,TRADITIONAL,low,low,"No description available for Jeff Dean, thus it cannot be definitively classified as any specific investor type. However, given the lack of information, it is most likely to be categorized as OTHER.",3481,Jeff Dean
OTHER,TRADITIONAL,low,low,"The name and description provided do not provide enough information to definitively classify Humba Ventures as a specific type of investor. It could be an independent venture capital firm (IVC), or it could be associated with a company, university, or other entity. Without additional context, the in",3517,Humba Ventures
GVC,TRADITIONAL,high,high,"ITU ARI Teknokent is affiliated with a specific university and located in a Technology Development Zone, making it a University_VC. However, since it's publicly funded by the Istanbul Technical University, it falls under GVC category.",3543,ITU ARI Teknokent
OTHER,GREEN_VC,high,high,"The Emera ideaHUB is an advanced business incubator associated with Dalhousie University, making it a University_VC. However, it's primary focus on empowering innovators to build world-class technology companies making physical products suggests that it has a green focus, classifying it as GREEN_VC.",3575,Emera ideaHUB
OTHER,TRADITIONAL,low,low,"The Icehouse is not a government entity, corporation, university, bank, or angel network. It empowers New Zealand business owners, which could imply it's an independent private firm (IVC), but without specific information about its funding sources, it cannot be definitively classified as such.",3580,The Icehouse
GVC,GREEN_VC,high,high,"The investor 'AUC Venture Lab' is classified as a GVC (Government Venture Capital) because it is affiliated with a specific university, which falls under the University_VC category. However, since there is no mention of it being privately funded or owned by a corporation, bank, or individual, it can",3615,AUC Venture Lab
OTHER,TRADITIONAL,low,low,"The name 'Bali Investment Club' does not clearly indicate a specific type of venture capital investor. It could be an Angel Network, IVC, or OTHER. Without additional context, it is difficult to determine the green focus.",3632,Bali Investment Club
OTHER,GREEN_VC,medium,high,"The description suggests Norte Ventures is an independent venture capital firm, making it an IVC. However, the term 'restless nonconformists' and 'sparkling belief' implies a mission-driven approach, which aligns with Impact_VC. The focus on creating products and confronting industry incumbents also",3677,Norte Ventures
IVC,ESG_ALIGNED,medium,high,"Point72 Ventures is an independent private firm not owned by government, a corporation, university, or bank. However, the focus on fintech and artificial intelligence suggests ESG alignment rather than traditional venture capital.",3686,Point72 Ventures
GVC,TRADITIONAL,medium,medium,"LG Chem is a South Korean chemical company, not a government body or publicly-funded program. However, it's possible that the company might have some green initiatives or investments, but without specific information about its venture capital activities, it's hard to classify it as GREEN_VC or ESG_A",3713,LG Chem
GVC,GREEN_VC,high,high,"The Visa Foundation is a philanthropic organization established by the global payments technology company, Visa. As it is associated with a private corporation, it falls under the category of CVC. However, since Visa is not a government body, it is not classified as CVC. Instead, it is categorized a",3717,Visa Foundation
GVC,GREEN_VC,high,high,"The Advanced Technology Development Center is affiliated with Georgia Institute of Technology, which makes it a University_VC. However, since it's part of a specific university, it falls under the category of GVC.",3745,Advanced Technology Development Center
GVC,TRADITIONAL,low,low,"No specific information provided about Beiersdorf indicating it is a government venture capital investor, corporation, university, bank, angel network, or other. However, without a description, it's challenging to determine if the focus is green, ESG-aligned, or traditional.",3750,Beiersdorf
GVC,TRADITIONAL,medium,medium,"ORIX is a Japanese financial services company, but the name does not indicate it's a government entity. However, without more specific information about its nature and funding sources, it's difficult to definitively classify ORIX as either GVC or IVC.",3752,ORIX
OTHER,TRADITIONAL,low,low,"Paragon Capital Management Singapore is not a government entity, corporation, university, bank, or angel network. However, without specific information about their investment focus, it cannot be definitively classified as an Impact_VC or GVC.",3767,Paragon Capital Management Singapore
GVC,GREEN_VC,high,high,"QUBIS is affiliated with a specific university, making it a University_VC. However, since it's not explicitly stated that QUBIS is funded by the university itself, it could also be considered an IVC as it operates independently. Given that QUBIS works with academic entrepreneurs and has a portfolio ",3786,QUBIS
GVC,GREEN_VC,high,high,"Maruti Suzuki Innovation is a platform provided by a private corporation (Maruti Suzuki), which makes it a CVC. However, since it's focused on automotive solutions and not funded by the government, it's not a CVC. Instead, it's a GVC as it's associated with a non-government company.",3791,Maruti Suzuki Innovation
IVC,TRADITIONAL,medium,medium,"Bow Capital is an independent venture capital fund, not owned by government, a corporation, university, or bank. However, the description mentions 'UC' (University of California), but it doesn't specify that it's a University_VC. The green focus is assumed to be traditional as no specific mention of",3828,Bow Capital
GVC,GREEN_VC,high,high,"Airbus BizLab is a venture lab by Airbus, a major European aerospace corporation. As it's part of a private corporation, it falls under the CVC category. However, considering Airbus' focus on the aerospace industry and its commitment to sustainability initiatives, it can be classified as a GVC (Gove",3843,Airbus BizLab
OTHER,TRADITIONAL,low,low,"No description provided to determine the investor type definitively. It could be a private independent venture capital firm (IVC), an angel network, or another type of venture capital organization. Without more information, it's difficult to classify the green focus as well.",3862,Blue Catapult Partners
PARSE_ERROR,PARSE_ERROR,low,low,"unparseable_response:  {
""investor_type"": ""IVC"",
""green_focus"": ""GREEN_VC"",
""confidence_type"": ""medium"",
""confidence_green"": ""high"",
""reasoning"": ""The investor 'Varana Capital' is not affiliated with a government, corporat",3925,Varana Capital
GVC,GREEN_VC,high,high,"Louis Dreyfus Company Ventures is a venture arm of Louis Dreyfus Company, which is a global merchandizing and processing group with activities in agriculture, food, and energy. As it's a subsidiary of a private corporation, it falls under the CVC category. However, considering that Louis Dreyfus Com",3949,Louis Dreyfus Company Ventures
OTHER,TRADITIONAL,low,low,"The name 'BKK Production' does not provide enough information to classify it as a specific investor type. It could be an independent private firm (IVC), but without further context, it cannot be definitively determined.",3974,BKK Production
OTHER,TRADITIONAL,low,low,"The name Xiaomi Ventures does not provide enough information to definitively classify it as a specific type of investor. It could be an independent venture capital firm (IVC), a corporate venture capital (CVC) if Xiaomi is a non-government company, or even an OTHER investor type. Without more contex",3982,Xiaomi Ventures
OTHER,TRADITIONAL,medium,medium,"Aster Aceleradora operates in the mining industry, which is not typically associated with government bodies or universities. However, its location near a major copper district suggests it might be affiliated with regional economic development agencies (GVC). Without further information, the classifi",3991,Aster Aceleradora
OTHER,GREEN_VC,high,high,"Bezos Expeditions is an investment company founded by Jeff Bezos, which makes it a private independent venture capital firm (IVC). However, given that its founder is the CEO of Amazon and one of the world's richest individuals, it is likely to have a green focus due to the philanthropic activities o",4016,Bezos Expeditions
GVC,GREEN_VC,high,high,"Xiaomi Fund Management is a fund management company, and as it's associated with Xiaomi Corporation (a Chinese multinational electronics company), it falls under the category of CVC. However, since it's a government-backed fund management company, it takes priority over CVC and is classified as GVC.",4106,Xiaomi Fund Management
OTHER,GREEN_VC,medium,high,"Mazarine Ventures doesn't fit into any of the predefined categories (GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC) as per the given rules. However, based on its name and the context of venture capital investments, it is likely an independent private firm (IVC). Since there's no in",4110,Mazarine Ventures
GVC,GREEN_VC,high,high,"Oxford Technology Management is affiliated with the University of Oxford, making it a University_VC. However, since it's part of a specific university, it falls under the GVC category as it is publicly funded.",4118,Oxford Technology Management
OTHER,TRADITIONAL,low,low,"Sensata Technologies is a private corporation, but it's not clear if they have a venture arm or if they focus on climate-related projects. Insufficient information to classify as CVC or Impact_VC.",4138,Sensata Technologies
OTHER,TRADITIONAL,medium,high,"The investor 'HackZone Scale Up' is not clearly tied to one owner type as it focuses on global startup programs, including accelerators and hackathons. However, given its focus on innovation initiatives, it might have a green or ESG-aligned focus. But without specific information about its investmen",4140,HackZone Scale Up
OTHER,TRADITIONAL,low,medium,"The investor's name does not provide clear indications of its type. Without a description, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER. The green focus is also not specified.",4146,TK & Partners
OTHER,TRADITIONAL,low,low,"The investor's name does not provide a clear indication of its type. Without a description, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER.",4152,HaiBang Ventures
OTHER,TRADITIONAL,low,low,"The description does not provide enough information to definitively classify Maumee Ventures as a specific type of investor. It could be an independent venture capital firm (IVC), but it's also possible that it could be a CVC, Angel_Network, or OTHER depending on its ownership structure and focus.",4212,Maumee Ventures
GVC,GREEN_VC,high,high,"Open Innovation at ACCIONA is a venture arm of the company ACCIONA, which is a Spanish multinational infrastructure and renewable energy corporation. As it's a private corporation, it falls under CVC category but since it's part of a company primarily focused on renewable energy, it's classified as ",4227,I'mnovation
University_VC,TRADITIONAL,high,medium,"The investor is MIT Innovation Initiative, which is affiliated with a specific university. It focuses on providing resources to student and faculty innovators and entrepreneurs, but there's no explicit mention of it being a green or ESG-aligned venture capitalist.",4237,MIT Innovation Initiative
OTHER,TRADITIONAL,high,low,"Atlanta Technology Angels is an angel syndicate/group of individual investors, making it an Angel_Network. The description does not provide any information about a green focus.",4299,Atlanta Technology Angels
OTHER,TRADITIONAL,high,medium,"The Science Angel Syndicate is an angel syndicate/group of individual investors, making it an Angel_Network. However, since no specific green focus is mentioned in the description, the green focus is rated as medium.",4300,Science Angel Syndicate
OTHER,GREEN_VC,medium,high,"The name suggests a network focused on smart ports and blue acceleration, which could indicate a focus on maritime technology or sustainability. However, without more specific information about its ownership or funding source, it's difficult to definitively classify it as a GVC, CVC, IVC, Impact_VC,",4357,Atlantic Smart Ports Blue Acceleration Network
GVC,GREEN_VC,high,high,"Sabancı ARF is a venture capital investor that is affiliated with Sabancı Holding, a large Turkish conglomerate. As it is not a government body, it does not fit the criteria for CVC or GVC. However, since it is part of a private corporation, it falls under IVC category. But considering its associati",4370,Sabancı ARF
GVC,GREEN_VC,high,high,"The Wisconsin Alumni Research Foundation is a research foundation affiliated with the University of Wisconsin-Madison, making it a University_VC. However, since it's not clear from the name whether it's an independent private firm or publicly funded, it falls under GVC as it's associated with a univ",4395,Wisconsin Alumni Research Foundation
GVC,GREEN_VC,high,high,"The platform 'Techmind' is a reference for investing in startups, which suggests it could be an independent venture capital firm (IVC). However, the description mentions investing in a very selective manner, which aligns more with government-backed venture capital (GVC) as they often have strict cri",4413,Techmind
GVC,GREEN_VC,high,high,"Scania Invest is a venture arm of Scania, a Swedish multinational truck manufacturing company. As it's part of a non-government corporation, it falls under the CVC category. However, since Scania is a private company and not a government body, it is not classified as CVC. Instead, it is likely that ",4453,Scania Invest
GVC,TRADITIONAL,medium,high,"Honeywell is a multinational conglomerate company, but it doesn't specify that it has a venture capital arm. However, as a large corporation, it might have some form of investment activities. Since there's no clear indication that it's a CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC or ",4464,Honeywell
OTHER,GREEN_VC,high,high,"Honda Xcelerator Ventures is a venture created by Honda, a private corporation, focusing on the carbon neutral future of mobility. Therefore, it falls under the category of CVC. However, since it's a subsidiary of a major automotive company with a clear focus on green technologies, the confidence le",4465,Honda Xcelerator Ventures
OTHER,TRADITIONAL,medium,low,"The investor 'Templewater' is not clearly tied to one owner type, as described in the given data. It could potentially be an independent private firm (IVC), but without more specific information about its ownership and focus, it cannot be definitively classified.",4520,Templewater
GVC,TRADITIONAL,medium,medium,"The name Himadri Speciality Chemical does not provide clear indication of its ownership type. However, as it is a chemical company, it might be affiliated with a government or a corporation. Since there's no information available to confirm it's a CVC or IVC, I've classified it as GVC due to the pos",4527,Himadri Speciality Chemical
GVC,TRADITIONAL,medium,medium,"Fuyo General Lease doesn't have a clear affiliation with a government, corporation, university, bank or angel network. However, due to the lack of available information, it cannot be definitively classified as IVC, Impact_VC, Bank_VC, Angel_Network or OTHER.",4601,Fuyo General Lease
GVC,TRADITIONAL,low,low,"The name 'AES' does not provide clear indications of the investor type. Without a description, it cannot be definitively classified as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER. However, in the absence of specific information, a low confidence classification is approp",4611,AES
GVC,GREEN_VC,high,high,"NUS Enterprise is affiliated with a specific university, which classifies it as University_VC. However, since it's part of the National University of Singapore (a government-run institution), it falls under GVC category.",4661,NUS Enterprise
CVC,GREEN_VC,high,high,"FEMSA Ventures is a Corporate Venture Capital firm, which means it's the venture arm of a non-government company. The focus on improving and transforming people's lives through innovative ideas and world-class entrepreneurs suggests a green or ESG-aligned focus.",4671,FEMSA Ventures
OTHER,GREEN_VC,medium,high,"The name 'FAST--by GETTYLAB' does not clearly indicate a specific investor type. However, the focus on 'building the mighty' suggests it could be an independent venture capital firm (IVC). Given that it is not affiliated with a government body, university, corporation, bank, or angel network, and it",4682,FAST--by GETTYLAB
OTHER,TRADITIONAL,low,low,"The investor's name does not provide enough information to definitively classify it as a specific type. It is neither clearly associated with a government entity (GVC), a corporation (CVC), a university (University_VC), an independent private firm (IVC), a mission-driven fund (Impact_VC), a bank (Ba",4710,Sorbon Investments Ltd.
OTHER,GREEN_VC,medium,high,"Next Mobility Labs is a venture studio that co-found startups in the next generation mobility ecosystem, which suggests it might be an independent private firm (IVC). However, the lack of clear ownership ties to a government body, corporation, university, bank or angel network makes it difficult to ",4721,Next Mobility Labs
OTHER,ESG_ALIGNED,medium,high,"The investor 'Founders Bay' is an independent Impact Accelerator, not associated with a government, corporation, university, bank, or angel network. However, the focus on impact startups and sustainable projects aligns it more towards ESG-aligned rather than traditional ventures.",4722,Founders Bay
OTHER,TRADITIONAL,low,low,"The name 'Nexter Company' does not provide enough information to classify it as a specific investor type. Without a description or further context, it cannot be definitively determined if it is a government venture capital (GVC), corporate venture capital (CVC), independent venture capital (IVC), im",4778,Nexter Company
GVC,GREEN_VC,high,high,"The École polytechnique fédérale de Lausanne Endowment is a venture capital investor that is affiliated with a specific university, making it a University_VC. However, since it is part of a university, it falls under the category of GVC (Government Venture Capital) as it is publicly funded by an edu",4785,École polytechnique fédérale de Lausanne Endowment
OTHER,TRADITIONAL,low,low,"The name 'A Ventures' does not provide a clear indication of the investor type. It is neither a government venture capital (GVC), corporate venture capital (CVC), independent venture capital (IVC), impact venture capital, bank venture capital, angel network, university venture capital, nor other. Th",4805,A Ventures
OTHER,GREEN_VC,medium,high,"Fujian New Doone Science is a venture that offers solutions and connects with investors to solve problems, which could indicate it's an independent private firm (IVC). However, the name suggests a connection to Fujian province in China, implying possible government ties. Therefore, the classificatio",4830,Fujian New Doone Science
IVC,TRADITIONAL,medium,medium,"The investor's name does not suggest any specific affiliation with a government, corporation, university, bank, or angel network. However, the focus on life sciences could potentially indicate an ESG-aligned approach, but without further information, it is classified as traditional.",4844,First In Ventures
OTHER,TRADITIONAL,low,low,"The investor's name does not provide clear indications of the type. Without a description, it is difficult to classify the investor as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTHER.",4853,9Yards Capital Management
OTHER,TRADITIONAL,low,low,"The investor's name and description do not provide enough information to definitively classify it as a specific type of venture capital investor. Fine Day Ventures could be an independent private firm (IVC), but there is no indication that it is focused on green or impact ventures, nor is it associa",4864,Fine Day Ventures
IVC,TRADITIONAL,medium,medium,"Elad Gil is described as an investor, but there's no clear indication that he is affiliated with a government body (GVC), a corporation (CVC), a university (University_VC), or a bank (Bank_VC). Therefore, he falls under the category of IVC. However, without specific information about his investment ",4882,Elad Gil
OTHER,GREEN_VC,medium,high,"The investor 'Elohim Partners' does not fit any of the defined categories exactly. However, given its likely focus on green ventures (based on the name), it is classified as a Green Venture Capitalist (GVC) with medium confidence.",4924,Elohim Partners
OTHER,TRADITIONAL,low,medium,"The name 'Alan Asset Management' does not provide clear indication of its type. It could be an independent venture capital firm (IVC), but without further context, it cannot be definitively classified.",4925,Alan Asset Management
GVC,TRADITIONAL,low,low,"No description provided, thus the investor type cannot be definitively determined. However, as no specific affiliation with a private corporation or university is mentioned, it's unlikely to be CVC or University_VC.",4939,Yuanta Investment
OTHER,GREEN_VC,medium,high,"The name 'Mirai Sozo Capital' does not fit any of the specified investor types. However, given its likely focus on future and innovation, it might be an independent venture capital firm (IVC) with a green focus.",4940,Mirai Sozo Capital
GVC,GREEN_VC,high,high,"Omron Ventures is a venture capital investor that is affiliated with Omron Corporation, a multinational electronics manufacturer. As such, it falls under the category of CVC (Corporate Venture Capital). However, since Omron Corporation is a private corporation and not a government body, this classif",4941,Omron Ventures
GVC,GREEN_VC,high,high,"Mirova Natural Capital is a venture capital investor that focuses on green projects, and it's a part of Mirova, which is an affiliate of Natixis, a French investment bank. However, since Natixis is a private corporation, this investor falls under the CVC category. But given its focus on green projec",4942,Mirova Natural Capital
GVC,GREEN_VC,high,high,"The investor 'Guangzhou Nanyue Aode Investment' is classified as a GVC (Government Venture Capital) due to the absence of any indication that it is privately owned, affiliated with a corporation or university, or a bank. Since no other type fits, it falls under OTHER but given its nature as a govern",4964,Guangzhou Nanyue Aode Investment
GVC,TRADITIONAL,medium,medium,"Orkla is a Norwegian multinational company with diverse business operations, but no specific information is available to definitively classify it as a venture capital investor. However, given its status as a large corporation, it's more likely to be a CVC or GVC if it does engage in VC activities.",4993,Orkla
OTHER,TRADITIONAL,low,low,"No description provided to determine the investor type. Orange Capital Ventures could be an independent venture capital firm (IVC), but without further context, it's difficult to classify with certainty.",5033,Orange Capital Ventures
GVC,GREEN_VC,high,high,"Oracle Venture Investment is a venture investment arm that belongs to Oracle Corporation, a multinational computer technology corporation. As it's a subsidiary of a private corporation, it falls under the CVC category. However, since Oracle is a non-government company, it's not classified as such. G",5035,Oracle Venture Investment
OTHER,TRADITIONAL,low,low,"The name Stonebridge Capital does not provide clear indications of its type. It could be an independent venture capital firm (IVC) or a CVC if affiliated with a non-government company, but without further information, it's difficult to classify definitively.",5064,Stonebridge Capital
GVC,GREEN_VC,high,high,"The investor 'Gerdau Next Ventures' is a venture capital arm of Gerdau, a Brazilian multinational steel manufacturing corporation. However, since it is a subsidiary of a private corporation, it falls under the category of CVC. But given that Gerdau has a strong focus on sustainability and green init",5086,Gerdau Next Ventures
OTHER,TRADITIONAL,low,low,"The name 'NBank Capital' does not provide a clear indication of its type. It could be an independent venture capital firm (IVC), a bank's venture arm (Bank_VC), or other (OTHER). However, without additional context about the nature of their investments and affiliations, it is difficult to determine ",5097,NBank Capital
PARSE_ERROR,PARSE_ERROR,low,low,"request_error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)",5110,ODF
PARSE_ERROR,PARSE_ERROR,low,low,"request_error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=30)",5113,GiTV
IVC,TRADITIONAL,low,low,"No description provided to determine if Sigma Partners is a government, corporation, university, bank, or angel network. As no other information suggests it is a green venture capital firm, it is classified as TRADITIONAL.",5119,Sigma Partners
OTHER,TRADITIONAL,low,low,"The name 'Protagonist' does not provide enough information to classify the investor as a specific type. It could be an independent venture capital firm (IVC), an angel network, or other types of organizations. Therefore, the confidence level is low.",5263,Protagonist
OTHER,TRADITIONAL,low,low,"The name 'Chona Family Office' does not provide enough information to definitively classify it as a specific investor type. It could be an independent private firm (IVC), a family office investing in various sectors, or even an angel network. Without more context, it is difficult to determine its gr",5348,Chona Family Office
OTHER,GREEN_VC,medium,high,"The name 'Baobab Network' does not fit any of the defined investor types. However, given that they provide follow-on funding to companies, it is likely an independent venture capital firm (IVC). The green focus is inferred from their involvement with companies, which implies a focus on sustainable o",5380,Baobab Network
OTHER,GREEN_VC,medium,high,"Primepulse is a growth platform that invests in digital technologies, which could suggest it's an IVC. However, the description mentions 'gründergeführte', which translates to 'founder-led' in German, indicating possible affiliation with specific founders rather than a corporate entity. Therefore, i",5410,Primepulse
GVC,GREEN_VC,high,high,"Kyoto Bank Lease Capital is a venture capital investor that is likely affiliated with Kyoto Bank, which suggests it is a bank-related venture capital (Bank_VC). However, since 'Kyoto' is associated with the Kyoto Protocol, an international treaty aimed at reducing greenhouse gas emissions, it is mor",5424,Kyoto Bank Lease Capital
OTHER,TRADITIONAL,low,low,"The name and description do not provide enough information to definitively classify this investor. It is neither a government venture capital (GVC), corporate venture capital (CVC), independent venture capital (IVC), impact venture capital (Impact_VC), bank venture capital (Bank_VC), angel network, ",5491,Innovation and Collaboration Centre
GVC,TRADITIONAL,medium,medium,"Tokio Marine Holdings is a holding company, which suggests it may be a conglomerate or group of companies. However, without specific information about its nature and funding sources, it's difficult to definitively classify it as GVC, CVC, IVC, Impact_VC, Bank_VC, Angel_Network, University_VC, or OTH",5510,Tokio Marine Holdings
